cycle,timestamp,spearman_r,spearman_p,pearson_r,pearson_p,kendall_tau,kendall_p,ci_lo,ci_hi,spearman_r_ema,spearman_p_ema,pearson_r_ema,pearson_p_ema,kendall_tau_ema,kendall_p_ema,spearman_r_best,spearman_p_best,pearson_r_best,pearson_p_best,kendall_tau_best,kendall_p_best,mean_val_acc1,std_val_acc1,mean_ema_acc1,mean_best_val_acc1,n_archs
0,2026-06-03T13:00:33.907739,-0.08214285714285713,0.7710285652881772,-0.30124853026622284,0.2752240638300219,-0.04761904761904762,0.845841042458974,-0.6222634116937915,0.5172632433783105,0.8892857142857141,9.192974758842268e-06,0.5194986236873727,0.04717753753771464,0.7142857142857143,6.710364303783617e-05,-0.08214285714285713,0.7710285652881772,-0.30124853026622284,0.2752240638300219,-0.04761904761904762,0.845841042458974,53.14817603748327,5.63827607940083,13.915359354082998,53.14817603748327,15
1,2026-06-03T13:05:15.303053,0.042895459487824666,0.8793532695538793,-0.13152998552791553,0.6403147852520421,0.0,1.0,-0.5947467294730476,0.6733230656521086,0.7714285714285712,0.0007568751073803471,0.23721113997495108,0.3946246567778924,0.6190476190476191,0.0008364083878716816,0.042895459487824666,0.8793532695538793,-0.13152998552791553,0.6403147852520421,0.0,1.0,78.40900058567604,2.182787191413085,16.178725317938422,78.40900058567604,15
2,2026-06-03T13:09:54.286911,0.43214285714285705,0.10769303754639799,-0.04805560045903368,0.8649560172030845,0.37142857142857144,0.058995845051235264,-0.17700190969497198,0.9226554883002926,0.6071428571428571,0.01638130676830708,0.05672776651540354,0.8408505509441384,0.4666666666666667,0.015510823225067603,0.43214285714285705,0.10769303754639799,-0.04799480638766044,0.8651254173585183,0.37142857142857144,0.058995845051235264,81.58567603748325,1.4220705589252391,18.97428254685408,81.58621987951807,15
3,2026-06-03T13:14:44.144041,0.35357142857142854,0.19607167843419876,-0.07971689006630452,0.7776317861798511,0.33333333333333337,0.09264256691158146,-0.29818658556633243,0.8639954111206524,0.33571428571428563,0.22121153763932594,-0.053287270737569246,0.850399340526644,0.2761904761904762,0.16857787367749338,0.35357142857142854,0.19607167843419876,-0.07971689006630452,0.7776317861798511,0.33333333333333337,0.09264256691158146,83.64645038487282,1.3609728067126123,22.266451221552877,83.64645038487282,15
4,2026-06-03T13:19:23.870617,0.3,0.27731678036838386,-0.08341513792595306,0.7675713474972379,0.23809523809523814,0.23945881568583288,-0.393061249865577,0.8610729829538831,0.15357142857142855,0.5847640949410158,-0.23020677594402536,0.40913799839602616,0.14285714285714288,0.4950508526248027,0.2964285714285714,0.28335542843426287,-0.1004201711606271,0.7217756002956127,0.21904761904761905,0.2815660702955676,84.89266440763053,1.6443461453262027,26.02318649598394,85.00323167670685,15
5,2026-06-03T13:24:07.191824,0.22142857142857136,0.42771371901637,-0.33895323563648344,0.21650812269098893,0.1619047619047619,0.43511891093211363,-0.46909260832625327,0.8232098949778508,0.09285714285714285,0.742045009907367,-0.4162247380982048,0.12278321511707097,0.06666666666666668,0.770495669755301,0.22142857142857136,0.42771371901637,-0.33895323563648344,0.21650812269098893,0.1619047619047619,0.43511891093211363,86.41208584337349,1.594961398787802,30.276878346720213,86.41208584337349,15
6,2026-06-03T13:28:47.644109,0.4535714285714285,0.08948590014302728,-0.2941986788646389,0.28716513330003174,0.40952380952380957,0.03589723736788882,-0.217430974293875,0.9349005424954792,0.024999999999999998,0.9295289708192378,-0.5103765503361368,0.051906548459130966,0.009523809523809525,1.0,0.4535714285714285,0.08948590014302728,-0.2935855741050182,0.2882179019862845,0.40952380952380957,0.03589723736788882,87.45156668340026,1.5855447155048683,34.67599564926372,87.45709923025433,15
7,2026-06-03T13:33:26.875176,0.38214285714285706,0.1598236299869673,-0.2619216799937518,0.3456702216531944,0.33333333333333337,0.09264256691158146,-0.2868683155080214,0.9089417879623314,0.014285714285714282,0.9596997645989476,-0.5340892657009059,0.04028537453610056,0.009523809523809525,1.0,0.38928571428571423,0.15151193679039388,-0.2567668636329921,0.3555891332936477,0.3523809523809524,0.07433498084899375,88.31580488621151,1.347376879909702,39.203721134538156,88.33056183065595,15
8,2026-06-03T13:38:06.855718,0.2571428571428571,0.35486036365060913,-0.3827020342506459,0.15916225911755322,0.20000000000000004,0.3282335876694342,-0.40689534989443055,0.8227871455929749,-0.03214285714285714,0.9094621170945906,-0.5124706253346349,0.05079144356584605,-0.028571428571428574,0.9225700904951897,0.2571428571428571,0.35486036365060913,-0.3827020342506459,0.15916225911755322,0.20000000000000004,0.3282335876694342,89.20059404283802,1.258888870545664,43.65531919344042,89.20059404283802,15
9,2026-06-03T13:42:46.280336,0.28571428571428564,0.3019363513225493,-0.31641432753778603,0.2505634949816707,0.21904761904761905,0.2815660702955676,-0.369820396100483,0.8339506131875132,-0.03214285714285714,0.9094621170945906,-0.47397098869042675,0.07428490996313816,-0.009523809523809525,1.0,0.28571428571428564,0.3019363513225493,-0.31641432753778603,0.2505634949816707,0.21904761904761905,0.2815660702955676,89.72212809571619,1.2924166626215523,48.26092913319947,89.72212809571619,15
10,2026-06-03T13:47:28.178802,0.3107142857142856,0.2596673973372179,-0.3518110525029408,0.19846433100797636,0.2571428571428572,0.20184282422518202,-0.3455786503457595,0.8529411764705883,-0.028571428571428564,0.9194899083821857,-0.422546588090045,0.11662640006482466,-0.009523809523809525,1.0,0.3107142857142856,0.2596673973372179,-0.35178044893593485,0.19850609157405383,0.2571428571428572,0.20184282422518202,89.91295389892905,1.3016267800597432,52.69939131526105,89.91310031793842,15
11,2026-06-03T13:52:06.226038,0.3107142857142856,0.2596673973372179,-0.0846578668995232,0.7641983529764994,0.2571428571428572,0.20184282422518202,-0.3478598680550037,0.8587020402547372,-0.04285714285714285,0.8794603130258999,-0.36670649314753057,0.17880562859928448,-0.028571428571428574,0.9225700904951897,0.3107142857142856,0.2596673973372179,-0.35178044893593485,0.19850609157405383,0.2571428571428572,0.20184282422518202,85.50993557563588,1.9015433601859422,57.07235190763052,89.91310031793842,15
12,2026-06-03T13:56:44.183056,0.4392857142857142,0.10136057119347243,-0.18163574769225216,0.517071028676532,0.4476190476190477,0.020790615322361355,-0.22604572273333245,0.9637697539114712,-0.007142857142857141,0.9798442277615982,-0.3103952448161288,0.26018282375318336,-0.009523809523809525,1.0,0.3107142857142856,0.2596673973372179,-0.35178044893593485,0.19850609157405383,0.2571428571428572,0.20184282422518202,86.42444779116467,1.68937512126427,61.34270414993306,89.91310031793842,15
13,2026-06-03T14:01:22.190794,0.2714285714285714,0.3277893068411727,-0.2228744580675781,0.4246247578756361,0.20000000000000004,0.3282335876694342,-0.38775190415741045,0.820151957428671,0.0035714285714285704,0.9899214068809781,-0.2591696948793139,0.35094614256697093,0.009523809523809525,1.0,0.3107142857142856,0.2596673973372179,-0.35178044893593485,0.19850609157405383,0.2571428571428572,0.20184282422518202,86.9455530455154,1.4430997803851333,65.24387131860776,89.91310031793842,15
14,2026-06-03T14:06:00.524129,0.2821428571428571,0.30828445682005556,-0.1947807381731469,0.4866510368469457,0.2761904761904762,0.16857787367749338,-0.38236090465066896,0.8582221328302723,-0.0035714285714285704,0.9899214068809781,-0.22062257572274452,0.42944060846301807,0.009523809523809525,1.0,0.3107142857142856,0.2596673973372179,-0.35178044893593485,0.19850609157405383,0.2571428571428572,0.20184282422518202,87.64706743641231,1.2749605451287227,68.6042607931727,89.91310031793842,15
15,2026-06-03T14:10:41.729598,0.1714285714285714,0.5412721760996331,0.017702610269084713,0.9500706485651531,0.06666666666666668,0.770495669755301,-0.5579815931450335,0.7132482779357096,0.09285714285714285,0.742045009907367,-0.19381436005495006,0.48885799858688644,0.10476190476190476,0.6264945175158468,0.3107142857142856,0.2596673973372179,-0.35178044893593485,0.19850609157405383,0.2571428571428572,0.20184282422518202,88.50664114792504,1.2928289654760206,71.37265729585008,89.91310031793842,15
16,2026-06-03T14:15:33.243795,0.3285714285714285,0.23180969720615968,-0.2799319633432068,0.31225281004360994,0.2571428571428572,0.20184282422518202,-0.35042139095312885,0.8759304863906129,0.11785714285714284,0.6757115292213043,-0.16950884929088664,0.5458786128616903,0.12380952380952381,0.5589660721223221,0.3142857142857143,0.2539400163236714,-0.3648236223284502,0.18121738164809664,0.2761904761904762,0.16857787367749338,89.49115210843372,1.0511228888435071,73.72112407965194,89.94829317269075,15
